Title,Release date,Time Period,Start Time,End Time,Diff,Notes on setting,Location
Mongol,2007,1192-1227,1192,1227,35,"A film about the early life of Temüjin, who later came to be known as Genghis Khan",Mongolia
The Black Rose,1950,1260 - 1294,1260,1294,34,English-language film about an English Saxon who travels China and meet a Mongol warlord,China
The War Lord,1965,1066-1100,1066,1100,34,A knight in the service of a duke goes to a coastal village where an earlier attempt to build a defensive castle has failed.,France
Lady Oscar,1979,1755-1789,1755,1789,34,"The woman Oscar François de Jarjayes is raised as a man by her father, later gaining a career as a guard for Marie Antoinette.",France
Bayani,1992,1863-1897,1863,1897,34,The life of Andres Bonifacio.,Philippines
Imperium: Saint Peter,2005,33-67,33,67,34,Saint Peter,Jerusalem
Anonymous,2011,1570-1604,1570,1604,34,"Life of Edward de Vere, 17th Earl of Oxford, an Elizabethan courtier, playwright, poet and patron of the arts, suggested as the actual author of William Shakespeare's plays.",England
World Without End,2012,1327-1361,1327,1361,34,"A sequel to the 2010 miniseries The Pillars of the Earth, set in England during the 1300s",England
The Last Kingdom,2015,866-late 900 ,866,900,34,Viking Age,England
Alexander the Great,1956,356-323 BC,-356,-323,33,Ancient kingdom of Macedonia and Persia,Skopje
Barry Lyndon,1975,1756-1789,1756,1789,33,"The Seven Years' War, etc.",North America
The Libertine,2004,1647-1680,1647,1680,33,"Life of the poet John Wilmot, 2nd Earl of Rochester",France
Alexander,2004,356-323 BC,-356,-323,33,Ancient kingdom of Macedonia and Persia,Skopje
