Title,Release date,Time Period,Start Time,End Time,Diff,Notes on setting,Location
Colonel Wolodyjowski,1968,1668,1668,1668,0,"The Ottoman invasion of the Polish–Lithuanian Commonwealth, part of the Polish–Ottoman Wars.",Poland
Witchfinder General,1968,1640,1640,1640,0,"Set during the English Civil War. A fictionalized depiction of Matthew Hopkins, a witch-hunter.",England
Stars of Eger,1968,1552,1552,1552,0,"During the Ottoman–Hungarian wars, after the Ottomans have taken Buda, the Hungarian Capital (in 1541), the siege of Eger (1552).",Budapest
The Saga of Tanegashima,1968,1543,1543,1543,0,,Japan
Valley of the Bees,1968,1300,1300,1300,0,The film follows a young man who's sent to join Teutonic order by his father.,Kingdom of Bohemia
Gates to Paradise,1968,1212,1212,1212,0,the ill-fated Children's Crusade,France
The Lion in Winter,1968,1183,1183,1183,0,Henry II is in power as his wife Eleanor of Aquitaine plots with their sons,England
Sleepy Eyes of Death: Hell Is a Woman,1968,0,0,0,0,,Japan
Kuroneko,1968,0,0,0,0,Awards: 2 Mainichi Film Concours,Japan
Sleepy Eyes of Death: In the Spider's Lair,1968,0,0,0,0,,Japan
Botan D?r?,1968,0,0,0,0,Based on the short story of the same name.,Japan
Kill!,1968,0,0,0,0,,Japan
"Krakatoa, East of Java",1969,1883,1883,1883,0,"Nominated for Academy Award for Best Visual Effects, featured the 1883 eruption of the volcano on the island of Krakatoa.",Indonesia
The Royal Hunt of the Sun,1969,1532,1532,1532,0,"Francisco Pizarro's capture of Atahualpa, Sapa Inca.",Peru
A Walk with Love and Death,1969,1358,1358,1358,0,Angelica Huston in the turmoil of the Jacquerie,France
Sleepy Eyes of Death: Castle Menagerie,1969,0,0,0,0,,Japan
Samurai Banners,1969,0,0,0,0,,Japan
"Crimson Bat, the Blind Swordswoman",1969,0,0,0,0,,Japan
Goyokin,1969,0,0,0,0,Awards: 2 Mainichi Film Concours,Japan
Double Suicide,1969,0,0,0,0,Based on the play of the same name.,Japan
The Devil's Temple,1969,0,0,0,0,,Japan
Hitokiri,1969,0,0,0,0,,Japan
Portrait of Hell,1969,0,0,0,0,,Japan
Tengu-to,1969,0,0,0,0,,Japan
Shinsengumi,1969,0,0,0,0,,Japan
The Fort of Death,1969,0,0,0,0,,Japan
"Waterloo, Belgium",1970,1815,1815,1815,0,Battle of Waterloo during the Napoleonic Wars.,"Waterloo, Belgium"
Mission: Iron Castle,1970,1582,1582,1582,0,,Japan
Judgement,1970,1514,1514,1514,0,"Rebellion of György Dózsa, Hungary.",Hungary
The Heroic Ones,1970,880,880,880,0,a Hong Kong film about Li Keyong's generals,China
Zatoichi meets Yojimbo,1970,0,0,0,0,,Japan
Bakumatsu,1970,0,0,0,0,,Japan
The Ambush: Incident at Blood Pass,1970,0,0,0,0,,Japan
Zatoichi Goes to the Fire Festival,1970,0,0,0,0,,Japan
The Emigrants,1971,1840,1840,1840,0,The Swedish immigrants in Minnesota,Minnesota
Persuasion,1971,early 1900 ,1817,1817,0,adaptation of Jane Austen's 1817 novel set during the Regency era in Great Britain,UK
Sense and Sensibility,1971,early 1900 ,1811,1811,0,adaptation of Jane Austen's 1811 novel set during the Regency era in Great Britain,UK
Silence,1971,1638,1638,1638,0,Based on the novel of the same name.,Japan
The Devils,1971,1634,1634,1634,0,"The life and trial of Urbain Grandier, who was convicted of witchcraft and burned. He was blamed for the Loudun possessions.",France
The Decameron,1971,1348,1348,1348,0,based on the novel Il Decameron by Giovanni Boccaccio.,Italy
Macbeth,1971,1050,1050,1050,0,Scottish king Mac Bethad mac Findlaích,Scotland
Zatoichi Meets the One-Armed Swordsman,1971,0,0,0,0,Awards: 1 Mainichi Film Concours,Japan
Miyamoto Musashi: Swords of Death,1971,0,0,0,0,Awards: 1 Golden Charybdis,Japan
En toiu onna,1971,0,0,0,0,,Japan
Inochi b? ni fur? (Inn of Evil),1971,0,0,0,0,"Awards: 5 Mainichi Film Concours, 1 Taormina International Film Festival Award",Japan
Scipio the African,1971,185 BC,-185,-185,0,About the later life of Scipio.,Rome
Socrates,1971,399 BC,-399,-399,0,A false accusation leads the philosopher Socrates to trial and condemnation in 5th century BC Athens.,Athens
Emma,1972,early 1900 ,1815,1815,0,adaptation of Jane Austen's 1815 novel set during the Regency era in Great Britain,UK
1776,1972,1776,1776,1776,0,A musical retelling of the American Revolution's political struggle in the Continental Congress to declare independence.,northeastern united states
Treasure Island,1972,1750,1750,1750,0,Adaptation of the famous pirate story by Robert Louis Stevenson,Nassau
Lone Wolf and Cub: Sword of Vengeance,1972,1655,1655,1655,0,,Japan
"Aguirre, the Wrath of God",1972,1560,1560,1560,0,Lope de Aguirre's ill-fated expedition down the Amazon in search of El Dorado.,Peru
The Canterbury Tales,1972,late 1400 ,1490,1490,0,Based on the medieval narrative poem The Canterbury Tales by Geoffrey Chaucer.,England
The 14 Amazons,1972,1030,1030,1030,0,a Hong Kong film about the Genearals of the Yang Family legends,China
Pope Joan,1972,900-11th ,950,950,0,Fictitious medieval legend of a woman who disguised herself as a man and rose to the status of Pope in the Middle Ages.,France
Trilogy of Swordsmanship (Part 2: The Tigress),1972,860,860,860,0,a Hong Kong film (only Part 2) set during Pang Xun's rebellion,China
Zatoichi at Large,1972,0,0,0,0,Awards: 1 Mainichi Film Concours,Japan
Lone Wolf and Cub: Baby Cart at the River Styx,1972,0,0,0,0,,Japan
Lone Wolf and Cub: Baby Cart to Hades,1972,0,0,0,0,,Japan
Shadow Hunters,1972,0,0,0,0,Based on the manga series of the same name.,Japan
Kogarashi Monjir?,1972,0,0,0,0,,Japan
Zatoichi in Desperation,1972,0,0,0,0,,Japan
Kogarashi Monjir?: kakawari gozansen,1972,0,0,0,0,,Japan
Shadow Hunters 2: Echo of Destiny,1972,0,0,0,0,Based on the manga series of the same name.,Japan
Lone Wolf and Cub: Baby Cart in Peril,1972,0,0,0,0,,Japan
Hanzo the Razor: Sword of Justice,1972,0,0,0,0,,Japan
Bhakta Tukaram,1973,1600,1600,1600,0,Based on the life of Marathi poet and saint Tukaram,India
Hanzo the Razor: The Snare,1973,0,0,0,0,,Japan
Lone Wolf and Cub: Baby Cart in the Land of Demons,1973,0,0,0,0,,Japan
Gniazdo,1974,972,972,972,0,about Mieszko I of Poland,Poland
The God King,1974,473,473,473,0,based on the historical clash between brothers Kasyapa and Moggalana on Sigiriya Rock,Sri Lanka
Hanzo the Razor: Who's Got the Gold?,1974,0,0,0,0,,Japan
Lone Wolf and Cub: White Heaven in Hell,1974,0,0,0,0,,Japan
Ryoma Ansatsu,1974,0,0,0,0,,Japan
Quanto è bello lu murire acciso,1976,1857,1857,1857,0,Failed rising organized by Carlo Pisacane in the Kingdom of the Two Sicilies,Sicilly
General Stone,1976,880,880,880,0,a Hong Kong film about Li Cunxiao,China
Sebastiane,1976,288,288,288,0,Rome Low-budget homo-erotic film about Saint Sebastian,Rome
Shatranj Ke Khiladi,1977,1856,1856,1856,0,Entailing the East India Company's annexation of the kingdom of Oudh (Awadh) from Wajid Ali Shah in 1856 on the eve of the Sepoy Mutiny.,India
Joseph Andrew,1977,1742,1742,1742,0,An adaption of the novel Joseph Andrews by Henry Fielding.,England
Chanakya Chandragupta,1977,3rd  BC,-250,-250,0,Based on the lives of Maurya Emperor Chandragupta Maurya and his mentor Chanakya,India
Junoon,1978,1857,1857,1857,0,About a love story between one of the Rebels of 1857 in Rohilkhand and an Anglo-Indian woman that he has held hostage (along with her mother and grandmother).,India
80 Hussars,1978,1848,1848,1848,0,Hungarian movie about the 1848–49 Revolution and War of Freedom in Hungary. Under the leadership of Farkas Paál a small Hussar troupe escapes from Poland to Hungary to join the Independence war against the Habsburgs. Their adventurous journey is full of thousands of dangers.,Hungary
The Love Suicides at Sonezaki,1978,0,0,0,0,Based on the play of the same name.,Japan
Bandits vs. Samurai Squadron,1978,0,0,0,0,,Japan
Swords of Vengeance: The Fall of Ako Castle,1978,0,0,0,0,,Japan
Zulu Dawn,1979,1879,1879,1879,0,The Battle of Isandlwana during the Anglo-Zulu War,South Africa
Hunter in the Dark,1979,0,0,0,0,Awards: 1 Japanese Academy Award,Japan
The Shogun Assassins,1979,0,0,0,0,Awards: 1 Japanese Academy Award,Japan
G.I. Samurai,1979,0,0,0,0,Time Travel film.,Japan
Heaven's Gate,1980,1892,1892,1892,0,Covers the Johnson County War,Wyoming
Dead or Alive,1980,1851,1851,1851,0,Hungarian movie which talks about the failed assassination by Gáspár Noszlopy on Franz Joseph I of Austria,Hungary
Pride and Prejudice,1980,early 1900 ,1813,1813,0,adaptation of Jane Austen's 1813 novel set during the Regency era in Great Britain,UK
Sh?gun,1980,1600-,1600,1600,0,"Miniseries adaptation of the novel by James Clavell, which is loosely based on the adventures of English navigator William Adams, who journeyed to Japan in 1600 and rose to high rank in the service of the sh?gun.",Japan
Sh?gun,1980,1600,1600,1600,0,"American TV mini-series based on the novel by James Clavell, loosely based on William Adams, the English navigator who served as a key advisor to Tokugawa Ieyasu beginning in 1600.",Japan
Kagemusha,1980,0,0,0,0,"Awards: 2 BAFTA Awards, 1 César Award, 2 David di Donatello Awards, 1 Palme d'Or",Japan
Tokugawa ichizoku no h?kai,1980,0,0,0,0,,Japan
Shogun Assassin,1980,0,0,0,0,English dubbed edit/compilation of the first two 1972 Lone Wolf and Cub films.,Japan
Shogun's Ninja,1980,0,0,0,0,,Japan
The Cantabrians,1980,29 BC,-29,-29,0,About the Cantabrian Wars during the final stage of the two-century long Roman conquest of Hispania.,Iberian Peninsula
The Bushido Blade,1981,1854,1854,1854,0,About the forced Opening of Japan in 1854.,Japan
Sense and Sensibility,1981,early 1900 ,1811,1811,0,adaptation of Jane Austen's 1811 novel set during the Regency era in Great Britain,UK
Útlaginn,1981,900,900,900,0,Adaptation of the saga of Gisli Sursson,Iceland
Lovespell,1981,600,600,600,0,Britain and Ireland – adaptation of the Brythonic legend of Tristan and Iseult,Ireland
Grendel Grendel Grendel,1981,600,600,600,0,"animated film based on the 1971 novel Grendel, retelling the Anglo-Saxon poem from the monster's perspective",Denmark
Sekigahara,1981,0,0,0,0,Japanese TV mini-series that aired over 3 consecutive nights.,Japan
Kazunomiya-sama otome,1981,0,0,0,0,Television film,Japan
Eijanaika,1981,0,0,0,0,,Japan
Shikake-nin Baian,1981,0,0,0,0,,Japan
Edo Porn,1981,0,0,0,0,"Awards: 1 Blue Ribbon Award, 1 Hochi Film Award, 2 Japanese Academy Awards, 1 Yokohama Film Festival Award",Japan
Quest for Fire,1981,"80,000 BC",-80000,-80000,0,"The story is set in Paleolithic Europe, with its plot surrounding the struggle for control of fire by early humans.",Europe
The Scarlet Pimpernel,1982,1792,1792,1792,0,French Revolution,France
The Draughtsman's Contract,1982,1694,1694,1694,0,Set during the reign of William III and Mary II in England.,England
Fire and Sword,1982,600,600,600,0,Britain and Ireland – adaptation of the Brythonic legend of Tristan and Iseult,Ireland
Ninja Wars,1982,0,0,0,0,Awards: 3 Japanese Academy Awards,Japan
Mansfield Park,1983,early 1900 ,1814,1814,0,adaptation of Jane Austen's 1814 novel set during the Regency era in Great Britain,UK
Danton,1983,1794,1794,1794,0,Conflict between Georges Danton and Maximilien Robespierre during the French Revolution.,France
Banovi? Strahinja,1983,1389,1389,1389,0,a battle between Medieval Serbia and the Ottoman Empire,Serbia
The Eight Diagram Pole Fighter,1983,980,980,980,0,a Hong Kong film about the Generals of the Yang Family legends,China
All the King's Men,1983,950,950,950,0,a Taiwanese film about Chai Rong's last days,China
The Ballad of Narayama,1983,0,0,0,0,"Awards: 1 Blue Ribbon Award, 1 Hochi Film Award, 3 Japanese Academy Awards, 2 Mainichi Film Concours, 1 Palme d'Or",Japan
Legend of the Eight Samurai,1983,0,0,0,0,,Japan
Flowers of Reverie,1984,1849,1849,1849,0,Hungarian movie which talks about the time after the defeat of the Hungarian Revolution of 1848 and the Surrender at Világos,Hungary
The Bounty,1984,1789,1789,1789,0,The Mutiny on the Bounty,Tahiti
Generals of the Yang Family,1984,980,980,980,0,a Chinese film about the Generals of the Yang Family legends,China
When the Raven Flies,1984,897,897,897,0,Set in the Viking Age,Iceland
Hissatsu!,1984,0,0,0,0,"Awards: 1 Blue Ribbon Award, 1 Hochi Film Award, 3 Japanese Academy Awards, 2 Mainichi Film Concours, 1 Palme d'Or",Japan
Onna goroshi abura no jigoku,1984,0,0,0,0,Television film,Japan
The Eight Diagram Cudgel Fighter,1985,980,980,980,0,a Hong Kong film about the Generals of the Yang Family legends,China
Ran,1985,0,0,0,0,Awards: 2 BAFTA Awards,Japan
Northanger Abbey,1986,late 1800  (1798),1798,1798,0,adaptation of Jane Austen's 1817 novel set during the time Miss Austen wrote the novel.,England
Lady Jane,1986,1553,1553,1553,0,"About Lady Jane Grey, Queen Regnant of the Kingdom of England for nine days.",England
The Name of the Rose,1986,1327,1327,1327,0,set in an Italian monastery,Italy
Gonza the Spearman,1986,0,0,0,0,Awards: 1 Silver Bear,Japan
Bakumatsu seishun graffiti: Ronin Sakamoto Ryoma,1986,0,0,0,0,Awards: 1 Hochi Film Award,Japan
Pathfinder,1987,900,900,900,0,Based on a Sami legend,Norway
The Deceivers,1988,1825,1825,1825,0,British officer in India investigates the Thugee cult,India
The Deceivers,1988,1825,1825,1825,0,About Thugees in India in 1825,India
Time of Violence,1988,1668,1668,1668,0,Bulgarian Christian region is selected by the Ottoman rulers to serve as an example of conversion to Islam,Bulgaria
Stealing Heaven,1988,1120,1120,1120,0,Peter Abelard and Héloïse,France
The Silk Road,1988,1026,1026,1026,0,a Japanese film about Western Xia,China
In the Shadow of the Raven,1988,900,900,900,0,Set in the Viking Age,Iceland
Lonesome Dove,1989,1870,1870,1870,0,the closing years of the Old West,Moody Ranch
Boj na Kosovu,1989,1389,1389,1389,0,a battle between Medieval Serbia and the Ottoman Empire,Serbia
Shogun's Shadow,1989,0,0,0,0,,Japan
Rikyu,1989,0,0,0,0,,Japan
Death of a Tea Master,1989,0,0,0,0,"Awards: 1 Japanese Academy Award, 1 Kinema Junpo Award, 1 Nikkan Sports Film Award, 1 Silver Hugo, 1 Silver Lion",Japan
Quigley Down Under,1990,1874,1874,1874,0,"A Sharpshooter from Wyoming is hired by an Australian rancher paying a very high price. But when Quigley arrives Down Under, all is not as it seems.",Australia
Treasure Island,1990,1750,1750,1750,0,Adaptation of the famous pirate story by Robert Louis Stevenson,Nassau
King of the Wind,1990,1727,1727,1727,0,"Depicts the life of the Godolphin Arabian, an Arabian colt in 18th-century Kingdom of Great Britain during the reign of George II of Great Britain.",England
Heaven and Earth,1990,0,0,0,0,,Japan
Thousand Pieces of Gold,1991,1880,1880,1880,0,Chinese immigrant woman in the American Old West.,Idaho
Tous les matins du monde,1991,late 1700 ,1790,1790,0,French composer Monsieur de Sainte-Colombe.,France
Young Catherine,1991,1744,1744,1744,0,Catherine II of Russia,Russia
Black Robe,1991,1634,1634,1634,0,Jesuit missionary among the Hurons.,wendake
Robin Hood: Prince of Thieves,1991,1190,1190,1190,0,During the life of Richard the Lionheart after his release from captivity in 1194,England
White Viking,1991,900,900,900,0,Set in the Viking Age,Iceland
Sengoku Ransei no Abarenbo Saito Dosan Doto no Tenka Tori,1991,0,0,0,0,Television film,Japan
Bakumatsu Jyunjyoden,1991,0,0,0,0,,Japan
Mangetsu: Mr. Moonlight,1991,0,0,0,0,Time Travel film.,Japan
The Last of the Mohicans,1992,1757,1757,1757,0,French and Indian War,Quebec
King Mindaugas (Valdžia),1992,1263,1263,1263,0,"Two-part psychological costume drama about the life of Lithuanian king Mindaugas based on a play by Latvian playwright M?rti?š Z?verts, aired by Lithuania's national broadcaster.",Lithuania
G?-hime,1992,0,0,0,0,Awards: 2 Japanese Academy Awards,Japan
The Oil-Hell Murder,1992,0,0,0,0,,Japan
Geronimo: An American Legend,1993,1886,1886,1886,0,"Events leading up to the capture of Geronimo, a prominent Apache leader during the Apache Wars.",Arizona
Gettysburg,1993,1863,1863,1863,0,The Battle of Gettysburg in the American Civil War,Gettysburg
Anchoress,1993,1325,1325,1325,0,An anchorite,France
Ihen kaid?,1993,0,0,0,0,Television film,Japan
Kaettekite Kogarashi Monjiro,1993,0,0,0,0,,Japan
Immortal Beloved,1994,1827,1827,1827,0,aftermath of the death of Beethoven,Germany
The Madness of King George,1994,1788,1788,1788,0,"The deteriorating mental health of George III of the United Kingdom, King of Great Britain and Ireland",UK
La Reine Margot,1994,1572,1572,1572,0,France during the St. Bartholomew's Day massacre. The massacre was part of the French Wars of Religion.,France
Prince of Jutland,1994,600,600,600,0,Denmark in the Germanic Heroic Age – legend of Amleth from the Danish Gesta Danorum,Denmark
Crest of Betrayal,1994,0,0,0,0,,Japan
47 Ronin,1994,0,0,0,0,,Japan
Jacob,1994,2000 BC (according to 00e Hebrew calendar),-2000,-2000,0,A German/Italian/American television film based on the novel Giacobbe by Francesco Maria Nappi. The novel is in turn based on the depiction of the patriarch Jacob in the Book of Genesis.,Damascus
Wild Bill,1995,1876,1876,1876,0,The last days of legendary lawman Wild Bill Hickok,Western US
The Horseman on the Roof,1995,1832,1832,1832,0,Second cholera pandemic in July Monarchy France,France
Persuasion,1995,early 1900 ,1817,1817,0,adaptation of Jane Austen's 1817 novel set during the Regency era in Great Britain,UK
Pride and Prejudice,1995,early 1900 ,1813,1813,0,adaptation of Jane Austen's 1813 novel set during the Regency era in Great Britain,UK
Sense and Sensibility,1995,early 1900 ,1811,1811,0,adaptation of Jane Austen's 1811 novel set during the Regency era in Great Britain,UK
Rob Roy,1995,1713,1713,1713,0,Scottish folk hero Robert Roy MacGregor,Scotland
Cutthroat Island,1995,1668,1668,1668,0,A female pirate and her companion race against their rivals to find a hidden island that contains a fabulous treasure.,Jamaica
The Viking Sagas,1995,"late 1000, early 11th centurie",1100,1100,0,"Borrows elements from several Icelandic sagas, most notably Laxdœla saga and Njáls saga",Iceland
Sharaku,1995,0,0,0,0,,Japan
Never Shall we Be Enslave!,1996,1885,1885,1885,0,A two-part film depicting the events of the Third Anglo-Burmese War and the fall of Thibaw Min and his Dynasty.,Burma
Emma,1996,early 1900 ,1815,1815,0,adaptation of Jane Austen's 1815 novel set during the Regency era in Great Britain,UK
Emma,1996,early 1900 ,1815,1815,0,adaptation of Jane Austen's 1815 novel set during the Regency era in Great Britain,UK
The Conquest,1996,896,896,896,0,About the Magyar settlement in Hungary,Hungary
Bungo torimono ezu - Harikomi,1996,0,0,0,0,Television film,Japan
Reborn From Hell: Samurai Armageddon,1996,0,0,0,0,Remake of the 1981 film Samurai Reincarnation.,Japan
Legend of the Devil,1996,0,0,0,0,,Japan
Tirad Pass: The Story of Gen. Gregorio del Pilar,1997,"December 2, 1899",1899,1899,0,"About the Battle of Tirad Pass, Philippine Campaign Against Americans led by General Gregorio Del Pilar.",Philippines
The Prince of Homburg,1997,1675,1675,1675,0,"Adaptation of the Heinrich von Kleist play fictionalizing the deeds of Frederick II, Landgrave of Hesse-Homburg in the Battle of Fehrbellin against Sweden. The Battle was part of the Scanian War.",Sweden
Barbara,1997,1640,1640,1640,0,"Set in Faroe Islands. About a love triangle between the pastor for the parish of Vágar, his unfaithful wife, and her foppish lover.",Faroe Islands
Eye of the Eagle,1997,1218,1218,1218,0,Adventure film about the prince of Denmark stopping a conspiracy to seize the crown,Denmark
Ivanhoe,1997,1192,1192,1192,0,adaptation of the novel by Sir Walter Scott about the English knight who returns from the Third Crusade to find that his name has been falsely slandered,England
The Journey to Xixia Empire,1997,1087,1087,1087,0,a Chinese film about Western Xia (Xixia),China
Roar,1997,400,400,400,0,Ireland – Celtic warriors attempt to repel a fictitious Roman invasion,Ireland
The Red Violin,1998,1681,1681,1681,0,One section of the film is set in 1681 in Cremona,Cremona
Shakespeare in Love,1998,1593,1593,1593,0,Fictional love affair involving playwright William Shakespeare and Viola de Lesseps while Shakespeare was writing Romeo and Juliet.,England
The Other Conquest,1998,1521,1521,1521,0,"Mexico, depicting the secret adherence to traditional religious beliefs of the converted Aztec survivors.",Mexico
Samurai Fiction: Episode One,1998,0,0,0,0,"Awards: 1 Mainichi Film Concours, 1 Puchon International Fantastic Film Festival Award, 2 Sitges Awards",Japan
"Kunoichi ninp?-ch?: Yagy? gaiden, Edo-bana jigoku-hen",1998,0,0,0,0,,Japan
The Emperor and the Assassin,1998,227 BC,-227,-227,0,based on the assassination attempt by Jing Ke on Qin Shi Huang,China
Mansfield Park,1999,early 1900 ,1814,1814,0,adaptation of Jane Austen's 1814 novel set during the Regency era in Great Britain,UK
Sleepy Hollow,1999,1799,1799,1799,0,"Set in the years after the American Revolution, when a Headless Horseman haunted a little town, Sleepy Hollow, New York.",New York
Plunkett & Macleane,1999,1748,1748,1748,0,Loosely based on The Gentlemen Highwaymen William Plunkett and Captain James MacLaine. They were highwaymen noted for their restrained and courteous behavior towards their victims.,Plunketts Creek
The 13th Warrior,1999,922,922,922,0,"blends elements of the historical account of the travels of Ahmad ibn Fadlan (AD 922), the legend of Beowulf (6th century), and the Kurosawa film Seven Samurai",Kiev
After the Rain,1999,0,0,0,0,,Japan
Owls' Castle,1999,0,0,0,0,Based on the novel under the same name.,Japan
Gohatto,1999,0,0,0,0,,Japan
The Crossing,2000,1776,1776,1776,0,George Washington's crossing of the Delaware River and the Battle of Trenton,Trenton
Vatel,2000,1671,1671,1671,0,France during the life of master chef François Vatel,France
Dora-Heita,2000,0,0,0,0,,Japan
Gojoe,2000,0,0,0,0,Awards: 1 Hochi Film Award,Japan
Lagaan,2001,1893,1893,1893,0,"A fictional account of a cricket game between the villagers of Champaner and the local British cantonment played in an effort to cancel the ""lagaan"" (a grain tax levied by the colonial authorities in India).",India
The Affair of the Necklace,2001,1780,1780,1780,0,"Based on the Affair of the Diamond Necklace. Jeanne of Valois-Saint-Rémy, a descendant of the House of Valois and courtesan takes revenge by scamming Marie Antoinette, Cardinal de Rohan, and others. The scandal kindling the flames of the French Revolution.",France
Musa (film),2001,1375,1375,1375,0,A story about diplomatic mission from the Goryeo travels to Ming China.,Korea
A Knight's Tale,2001,1356,1356,1356,0,"loose adaptation of The Knight's Tale by Geoffrey Chaucer, this tale is partially inspired by the exploits of William Marshall, but set in the 1350s (with mention made to Edward, the Black Prince and the Battle of Poitiers (1356))",England
Knights of the Quest,2001,1271,1271,1271,0,French knights journey to Greece to retrieve the Shroud of Turin,Europe
The Mists of Avalon,2001,late 500 - early 6th centurie,600,600,0,heavily fictionalized story of King Arthur,UK
Onmyoji,2001,0,0,0,0,,Japan
Ch?shingura 1/47,2001,0,0,0,0,Television film. Remake of the 1932 film Ch?shingura - Zempen: Akahoky? no maki.,Japan
Daniel Deronda,2002,1870,1870,1870,0,based on George Eliot's 1876 novel,England
Kewaishi,2002,0,0,0,0,Awards: 1 Tokyo International Film Festival Award,Japan
Kumamoto Stories,2002,0,0,0,0,"Includes 3 short films: Onna Kunishuu Ikki, Kikuchi-jo Monogatari: Sakimori-tachi no Uta, and Zuiketsu Genso: Tonkararin Yume Densetsu.",Japan
The Sea Is Watching,2002,0,0,0,0,,Japan
"Ryoma's Wife, Her Husband and Her Lover",2002,0,0,0,0,Awards: 1 Nikkan Sports Film Award,Japan
Sabu,2002,0,0,0,0,Television film,Japan
The Twilight Samurai,2002,0,0,0,0,Awards: 12 Japanese Academy Awards,Japan
Hero,2002,227 BC,-227,-227,0,based on the assassination attempt by Jing Ke on Qin Shi Huang,China
The Last Samurai,2003,1877,1877,1877,0,Fictional story based around the Satsuma Rebellion during the Meiji period.,Japan
Eroica,2003,1804,1804,1804,0,first performance of Beethoven's third symphony,Germany
Mein Name ist Bach,2003,1747,1747,1747,0,"Depicts Johann Sebastian Bach's visit to Frederick the Great in Potsdam, Prussia, when The Musical Offering was composed.",Germany
Horseman,2003,1747,1747,1747,0,"Set in the borders between the regions of Bosnia and Dalmatia, the crossroads of the Ottoman Empire and the Republic of Venice. It deals with issues relating to the region's native Croats as they struggle to live between two empires and two faiths: Catholicism and Islam. Also covers the possibility of a love affair between a Christian soldier and a Muslim noblewoman.",Germany
Sword in the Moon,2003,ca. 1600,1600,1600,0,Set during the beginning of the 17th century.,Korea
The Reckoning,2003,1380,1380,1380,0,"A priest on the lam takes up with a traveling band of actors, who then discover a murder has occurred and try to solve it by recreating the crime in a play.",England
The Lion in Winter,2003,1183,1183,1183,0,Henry II is in power as his wife Eleanor of Aquitaine plots with their sons,England
An Ancient Tale: When the Sun Was a God,2003,800,800,800,0,The death of Popiel and the rise of Piast the Wheelwright,Poland
Warriors of Heaven and Earth,2003,700,700,700,0,an action-adventure film set in Xinjiang,China
Once Upon a Time in a Battlefield,2003,660,660,660,0,Set during the Battle of Hwangsanbeol.,Korea
Pompeii: The Last Day,2003,79,79,79,0,Docu-drama that tells of the eruption of Mount Vesuvius on August 24 79 AD,Pompeii
Boudica,2003,60,60,60,0,Britain – a rebellion shortly after the area had been conquered by Rome,UK
When the Last Sword Is Drawn,2003,0,0,0,0,,Japan
Aragami,2003,0,0,0,0,Awards: 1 Silver Raven,Japan
Makai Tensh?,2003,0,0,0,0,,Japan
Azumi,2003,0,0,0,0,Based on the manga series of the same name.,Japan
Zat?ichi,2003,0,0,0,0,,Japan
Onmyoji 2,2003,0,0,0,0,,Japan
The Alamo,2004,1836,1836,1836,0,Battle of the Alamo during the Texas Revolution.,San Antonio
The Remains of Nothing,2004,1799,1799,1799,0,Eleonora Fonseca Pimentel,Italy
The Merchant of Venice,2004,1596,1596,1596,0,Set in the Republic of Venice. The film focuses on the Venetian Ghetto.,Venice
House of Flying Daggers,2004,859,859,859,0,Set during the end of the Tang dynasty,China
Ring of the Nibelungs,2004,450,450,450,0,about the Germanic hero Siegfried,Germany
The Voyage Home,2004,415,415,415,0,Rome – loosely based on the 5th-century poem De reditu suo by Rutilius Claudius Namatianus,Rome
The Passion of the Christ,2004,33 AD,33,33,0,Judea – The final 12 hours of Jesus Christ's life,Jerusalem
Warau Iemon,2004,0,0,0,0,"Awards: 2 Asia-Pacific Film Festival Awards, 1 Nikkan Sports Film Award",Japan
Kibakichi,2004,0,0,0,0,,Japan
Kibakichi 2,2004,0,0,0,0,,Japan
Izo,2004,0,0,0,0,,Japan
The Hidden Blade,2004,0,0,0,0,,Japan
Mangal Pandey: The Rising,2005,1857,1857,1857,0,About Mangal Pandey and the Sepoy Mutiny of 1857.,India
Bleak House,2005,1830,1830,1830,0,based on Charles Dickens' 1852–1853 novel,England
Pride and Prejudice,2005,early 1900 ,1813,1813,0,adaptation of Jane Austen's 1813 novel set during the Regency era in Great Britain,UK
The Headsman,2005,1525,1525,1525,0,An executioner in Tyrol (part of the Holy Roman Empire).,London
Soldier of God,2005,1187,1187,1187,0,a Templar who has survived the Battle of Hattin,Jurusalem
Beowulf & Grendel,2005,600,600,600,0,Denmark in the Germanic Heroic Age – loose adaptation of the Anglo-Saxon poem of Beowulf,Denmark
Azumi 2: Death or Love,2005,0,0,0,0,Based on the manga series of the same name.,Japan
Ashura,2005,0,0,0,0,"Awards: 1 Hochi Film Award, 1 Kinema Junpo Award, 1 Nikkan Sports Film Award, 1 Yokohama Film Festival Award",Japan
Samurai Commando: Mission 1549,2005,0,0,0,0,Awards: 1 Asia-Pacific Film Festival Award,Japan
Empire,2005,44 BC,-44,-44,0,Covers the struggle of a young Octavius to become the first emperor of Rome.,Rome
The Prestige,2006,1890,1890,1890,0,rival stage magicians in Victorian London,London
The Illusionist,2006,1889,1889,1889,0,tells the story of a magician in turn-of-the-century Vienna,Vienna
Copying Beethoven,2006,1824,1824,1824,0,final years of Ludwig van Beethoven,Germany
Napoleon and Me,2006,1814,1814,1814,0,Principality of Elba during the Napoleonic Wars,Elba
Nomad,2006,1810,1810,1810,0,"about the early years of Ablai Khan (early 18th century), a Kazakh khan in part of what is now Kazakhstan.",Kazakhstan
