movie_id,genre
6312,Action
621003,Adventure
343419,History
88273,Horror
621003,Action
343419,Drama
343419,History
88273,Drama
761772,History
1887,Romance
761772,Drama
1887,History
1887,Drama
12783,History
12783,Drama
43847,History
170740,Romance
43847,Drama
170740,History
374401,Romance
374401,Drama
12701,Adventure
14902,Drama
2024,History
40878,War
14902,Drama
2024,History
40878,Music
2024,Action
40878,Drama
73194,History
19076,War
40878,Drama
73194,History
19076,TV Movie
12709,War
73194,Drama
19076,History
12709,War
19076,Drama
12709,History
87729,Romance
12709,Comedy
87729,Drama
168330,Romance
87729,Drama
168330,History
11318,Romance
168330,Action
11318,Adventure
357928,Romance
11318,Comedy
357928,Drama
2669,History
2669,Action
99579,Drama
11085,History
99579,Drama
11085,History
11085,Adventure
12311,Drama
23615,History
12311,Adventure
23615,Drama
22614,History
23615,Action
22614,Drama
537037,Romance
43331,TV Movie
22614,Adventure
537037,Drama
537037,Drama
43331,History
43331,Drama
472138,History
78642,Romance
472138,Action
78642,Adventure
78642,History
59172,War
59172,Drama
56943,Romance
56943,Drama
2668,History
2668,Drama
101382,Fantasy
41441,Horror
8619,Mystery
11632,Thriller
101382,Drama
41441,Action
8619,Drama
11632,Romance
8619,Adventure
11632,Drama
11706,War
11632,Drama
11706,Romance
11706,Drama
19067,History
37011,Romance
203272,War
19067,Drama
37011,War
37011,Drama
203272,Music
496495,TV Movie
203272,Action
496495,Adventure
496495,Drama
30630,History
23928,War
30630,Drama
23928,History
23102,Romance
23928,Action
23102,Adventure
253078,Drama
4584,War
23102,Action
253078,Adventure
4584,Drama
243987,History
253078,Drama
4584,History
243987,Romance
4584,Drama
243987,Romance
43818,Drama
16236,Romance
16236,Drama
24180,Comedy
10399,History
43691,War
10399,Drama
43691,Romance
43691,Adventure
11362,Drama
11362,Adventure
33157,Action
3573,Drama
12254,History
3573,War
3573,Comedy
12254,Drama
3573,Romance
12254,Comedy
3573,Drama
12254,Romance
3573,Comedy
12254,Drama
17015,Romance
12254,Comedy
17015,Drama
13949,Romance
17015,Drama
13949,Romance
13949,Drama
18093,Romance
29963,TV Movie
18093,Drama
29963,Romance
399440,TV Movie
29963,Drama
399440,Romance
399440,Drama
205775,History
205775,Action
536581,Adventure
281957,Drama
1590,History
30886,Thriller
536581,Adventure
281957,Drama
1590,History
30886,War
281957,Adventure
1590,Drama
30886,Western
1590,Drama
30886,Action
41968,Romance
41968,Adventure
41968,Drama
41968,Adventure
13701,Drama
13701,Drama
11710,Music
11876,Romance
11710,Drama
11876,History
11876,Drama
232569,Romance
232569,Action
10733,Adventure
18320,Drama
10733,History
18320,War
11209,Western
18320,Drama
11209,History
11831,Romance
11209,Western
11831,Drama
11897,History
161382,Mystery
11897,Western
161382,Drama
40732,History
130899,War
40732,Drama
130899,History
130899,Drama
76203,Music
3131,Romance
76203,Drama
3131,History
3131,Crime
89665,Drama
14392,History
89665,Drama
14392,War
14392,Action
388086,Drama
146091,History
388086,Adventure
146091,Action
42193,Drama
68113,History
42193,Drama
68113,History
68113,Drama
457,History
457,Comedy
33796,Drama
65590,Romance
33796,Adventure
65590,Drama
11878,History
2289,Mystery
65590,Drama
11878,Drama
2289,Thriller
2289,Adventure
16072,Drama
22267,History
419311,Romance
16072,Drama
22267,History
419311,War
22267,Drama
419311,Romance
770,War
17589,Western
419311,Horror
770,Drama
17589,Romance
429,War
17589,Drama
429,History
9665,Romance
429,Western
9665,Drama
10655,History
12160,War
10655,Drama
12160,History
581,War
12160,Action
581,Adventure
3478,Drama
72976,Western
581,Adventure
3478,Drama
72976,Western
3478,Drama
72976,History
72976,Drama
70409,History
70409,Western
106908,Action
366093,Comedy
366093,Drama
7549,History
287558,Music
57201,Romance
7549,Action
287558,Drama
287558,Drama
57201,History
57201,Action
15,Adventure
317161,Western
15,Drama
317161,Mystery
317161,Drama
66775,History
66775,Action
9588,Adventure
616,Drama
65796,War
9588,Western
616,Action
65796,Drama
118908,History
616,War
65796,Action
118908,Western
118908,Drama
616,History
616,Action
38978,Drama
10544,History
14433,War
38978,Action
10544,Drama
14433,Western
10544,Action
14433,Adventure
18061,Drama
123938,History
14433,Action
18061,Drama
123938,History
1162,War
18061,Adventure
123938,Drama
1162,History
418879,War
123938,Drama
1162,Romance
1162,Drama
418879,Drama
4512,History
4512,Action
11969,Drama
10568,Western
11969,Action
10568,Western
10568,Adventure
9093,Drama
29710,History
35588,Romance
362820,War
9093,Action
29710,Adventure
35588,Drama
362820,Romance
179767,War
29710,Adventure
35588,History
362820,War
35588,History
362820,Western
362820,Drama
179767,History
63888,War
179767,Action
63888,Drama
491472,History
1491,War
63888,Drama
491472,Romance
491472,Drama
1491,Drama
642,Fantasy
1124,Romance
13470,Thriller
642,Crime
1124,Drama
13470,Western
1124,Drama
13470,Mystery
10935,Science Fiction
13470,Drama
10935,History
384680,TV Movie
57931,Western
10935,Drama
384680,Western
384680,Drama
57931,History
359105,Western
57931,Drama
359105,History
253816,Romance
359105,Action
253816,Comedy
