Title,Release date,Time Period,Start Time,End Time,Location,genre_ids,movie_id,original_language,overview,popularity,title,video,vote_average,vote_count,genres
An Empress and the Warriors,2008,ca. 350,350,350,China,"[28, 12, 36]",14539,zh,"After the death of her father, a woman is forced to take over as empress and fight to save her kingdom.",10.243,An Empress and the Warriors,False,6.0,80.0,"['Action', 'Adventure', 'History']"
Augustine: The Decline of the Roman Empire,2010,354-430,354,430,Rome,[18],47145,en,"Augustine is a two-part, Italian-made mini-series about the influential theologian and church father Augustine of Hippo. The piece tells the story of his life from a teenager to his death at the age of 69.Much of the content for the scenes of him as a young and middle-aged man come from his Confessions, which is probably the earliest extant autobiography.",4.665,Augustine: The Decline of the Roman Empire,False,4.9,11.0,['Drama']
Agora,2009,360-415,360,415,"alexandria, egypt","[12, 18, 36]",26428,en,"A historical drama set in Roman Egypt, concerning philosopher Hypatia of Alexandria and her relationship with her slave Davus, who is torn between his love for her and the possibility of gaining his freedom by joining the rising tide of Christianity.",14.171,Agora,False,7.0,1119.0,"['Adventure', 'Drama', 'History']"
Mulan Joins the Army,1939,ca. 567-571,386,534,China,"[10752, 36]",420564,zh,"This movie is based on the famous Chinese folklore that is more than one and a half millennium old. The same folklore was what the Disney animation Mulan is based on, and similarly, it was what many Chinese movies/operas/plays based on.",0.823,Mulan Joins the Army,False,5.0,1.0,"['War', 'History']"
St. Patrick: The Irish Legend,2000,387-493,387,493,Ireland,"[18, 12, 14, 36, 10770]",123701,en,"A young Christian boy attends a druid worship that is attacked by invading Irish tribes. Taken captive, he is taken back to Ireland to become a slave. Enduring many hardships, he finds comfort and eventually salvation in his faith. After several years, he escapes back to England, where he joins a convent to prove his faith. His greatest desire is to return to Ireland to convert the Irish to Christianity. Years later, he is given the opportunity. Upon setting foot on the Irish soil, all snakes are aitomatically driven from the land. He then overcomes many obstacles, including disagreements with the British Cardinal (Malcolm McDowell), to fulfill his destiny and ultimately being given Sainthood.",2.022,St. Patrick: The Irish Legend,False,5.3,3.0,"['Drama', 'Adventure', 'Fantasy', 'History', 'TV Movie']"
Roar,1997,400,400,400,Ireland,"[36, 14]",800709,en,"In 5th century Ireland, a young Celtic chieftain and his allies fight against Roman encroachment, the manipulative pro-Roman puppet ruler of Ireland, Queen Diana, and her immortal adviser who seeks the biblical Spear of Longinus.",0.941,Roar,False,10.0,1.0,"['History', 'Fantasy']"
Sign of the Pagan,1954,406-453,406,453,Rome,"[18, 36, 10752]",205331,en,"Roman centurion Marcian is captured by Attila the Hun en route to Constantinople, but escapes. On arrival, he finds the eastern Roman emperor Theodosius plotting with Attila to look the other way while the latter marches against Rome. But Marcian gains the favor of Pulcheria, lovely sister of Theodosius, who favors a united Empire.",2.99,Sign of the Pagan,False,5.0,3.0,"['Drama', 'History', 'War']"
Sign of the Pagan,1954,406-453,406,453,Rome,"[18, 36, 10752]",205331,en,"Roman centurion Marcian is captured by Attila the Hun en route to Constantinople, but escapes. On arrival, he finds the eastern Roman emperor Theodosius plotting with Attila to look the other way while the latter marches against Rome. But Marcian gains the favor of Pulcheria, lovely sister of Theodosius, who favors a united Empire.",2.99,Sign of the Pagan,False,5.0,3.0,"['Drama', 'History', 'War']"
Attila,2001,406-453,406,453,Rome,"[10752, 18, 10770]",594130,fr,A vengeful beauty foils the plans of the bloodthirsty Hun warrior to conquer Rome.,2.381,Attila,False,7.4,31.0,"['War', 'Drama', 'TV Movie']"
The Voyage Home,2004,415,415,415,Rome,[36],450529,it,"De Reditu takes place in 415 AD- five years after the devestating sack of Rome by the Visigoths- and tells the true story of Claudio Rutilio Namaziano, the last great pagan poet of a declining Roman Empire. A nobleman frustrated by the dominance of Christianity (which he blames for Rome's troubles) and a failed love affair, Claudio embarks on a sea journey to his native Gaul in order to raise an army and bring glory back to the Empire.",2.304,The Voyage Home,True,0.0,0.0,['History']
Ring of the Nibelungs,2004,450,450,450,Germany,[28],11188,en,"In this swords-and-sorcery tale, good-hearted blacksmith Eyvind hides away infant Prince Siegfried after two malevolent kings murder his father. But a fiery meteor sent by the gods reveals Siegfried's destiny, sending him on the quest of a lifetime. To save a crumbling kingdom claim the heart of his true love, he'll have to slay the nefarious dragon, Fafnir.",14.39,Ring of the Nibelungs,False,6.3,100.0,['Action']
King Arthur,2004,452-467,452,467,UK,"[12, 10752, 36, 28]",9477,en,"The story of the Arthurian legend, based on the 'Sarmatian hypothesis' which contends that the legend has a historical nucleus in the Sarmatian heavy cavalry troops stationed in Britain, and that the Roman-British military commander, Lucius Artorius Castus is the historical person behind the legend.",33.482,King Arthur,False,6.3,2192.0,"['Adventure', 'War', 'History', 'Action']"
The God King,1974,473,473,473,Sri Lanka,"[18, 36]",631791,en,"Epic tale set in 5th century Sri Lanka, following the battle for the throne between Kassapa and his father King Dhatusena",0.6,The God King,False,0.0,0.0,"['Drama', 'History']"
The Last Legion,2007,476-490,476,490,UK,"[28, 12, 14, 10752]",9703,en,"As the Roman empire crumbles, young Romulus Augustus flees the city and embarks on a perilous voyage to Britain to track down a legion of supporters.",16.002,The Last Legion,False,5.6,647.0,"['Action', 'Adventure', 'Fantasy', 'War']"
"Theodora, Slave Empress",1954,500-548,500,548,Istanbul,"[36, 10749]",280957,it,"Teodora, a Roman courtesan and former slave girl, marries the Roman emperor Justinian and assumes the throne as Empress of Rome. But the divide between nobility and slave is too great. Teodora seeks justice for her people, and revolution and armed conflict erupt in both Byzantium and Rome.",1.681,"Theodora, Slave Empress",False,6.0,8.0,"['History', 'Romance']"
Hagbard and Signe,1967,500,500,500,Denmark,"[36, 18]",198783,da,"The mountain slopes of Iceland are shown to excellent advantage in the Scandinavian epic Hagbard and Signe. The story, based on an ancient legend, concerns Hagbard (Oleg Vidov), the son of a slain Norse king. Seeking revenge against the rival clan responsible for the killing, Hagbard calms down long enough to establish a truce. He also falls in love with Signe (Gitte Haenning), daughter of his onetime enemy. Signe's former beau, sizzling with jealousy, breaks the truce and makes it appear that Hagbard was responsible. The young prince escapes, but returns disguised as a woman to his beloved Signe. Thanks to a treacherous handmaiden, both lovers are imprisoned and sentenced to be hanged. Rather than undergo this final ignominy, Hagbard and Signe enter into a suicide pact. A Danish/ Swedish/ Icelandic coproduction, Hagbard and Signe was released throughout Scandinavia as Den Rode Kappe, Den Rodda Kappan and Rautha Skikkjan.",0.98,Hagbard and Signe,False,5.7,6.0,"['History', 'Drama']"
Sword of the Conqueror,1961,567-572,567,572,italy,"[36, 12]",187117,it,"Alboino, the Lombard ruler, wants to marry the daughter of a neighboring king, but she loves another. Her father arranges the marriage to Alboino, which he believes will be beneficial to him, only to have Alboino kill him and leave Amalchi, his daughter's real love, beaten and left for dead. Amalchi recovers to lead a revolt against the murderous Alboino and reclaim his woman.",2.877,Sword of the Conqueror,False,0.0,0.0,"['History', 'Adventure']"
Goliath and the Barbarians,1959,568,568,568,italy,"[12, 28]",158157,it,"An Italian strong man (Steve Reeves) repels a Germanic king's (Bruce Cabot) invaders, except for one's dancing daughter (Chelo Alonso).",0.985,Goliath and the Barbarians,False,5.1,6.0,"['Adventure', 'Action']"
The Message,1976,570-632,570,632,Mecca,"[12, 18, 28, 36]",26842,en,Handsomely-mounted historical epic concerns the birth of the Islamic faith and the story of the prophet Mohammed.,14.286,The Message,False,7.3,248.0,"['Adventure', 'Drama', 'Action', 'History']"
Beowulf & Grendel,2005,600,600,600,Denmark,"[28, 12, 18, 14]",5471,en,"The blood-soaked tale of a Norse warrior's battle against the great and murderous troll, Grendel. Heads will roll. Out of allegiance to the King Hrothgar, the much respected Lord of the Danes, Beowulf leads a troop of warriors across the sea to rid a village of the marauding monster.",13.667,Beowulf & Grendel,False,5.7,164.0,"['Action', 'Adventure', 'Drama', 'Fantasy']"
Beowulf,2007,600,600,600,Denmark,"[12, 28, 16]",2310,en,"A 6th-century Scandinavian warrior named Beowulf embarks on a mission to slay the man-like ogre, Grendel.",27.38,Beowulf,False,5.8,2261.0,"['Adventure', 'Action', 'Animation']"
Tristan & Isolde,2006,600,600,600,Ireland,"[18, 10749, 12, 28]",9044,en,An affair between the second in line to Britain's throne (Franco) and the princess of the feuding Irish (Myles) spells doom for the young lovers.,11.497,Tristan & Isolde,False,6.7,671.0,"['Drama', 'Romance', 'Adventure', 'Action']"
Lovespell,1981,600,600,600,Ireland,"[18, 14]",143328,en,"Romantic tragedy, the story of Tristan and Isolde.",0.6,Lovespell,False,3.0,2.0,"['Drama', 'Fantasy']"
Hamlet,1948,600,600,600,Denmark,[18],23383,en,"Winner of four Academy Awards, including Best Picture and Best Actor, Sir Laurence Olivier’s Hamlet continues to be the most compelling version of Shakespeare’s beloved tragedy. Olivier is at his most inspired—both as director and as the melancholy Dane himself—as he breathes new life into the words of one of the world’s greatest dramatists.",10.654,Hamlet,False,7.5,181.0,['Drama']
Beowulf,2007,600,600,600,Denmark,[],606386,en,"Since 1990, Benjamin Bagby has been performing the great epic Beowulf at major festivals and venues around the world. This remarkable performance is presented on DVD, beautifully filmed by the award-winning Swedish director Stellan Olsson. While Beowulf has come down to us through literature as a written poem, the epic's pre-literate medieval audience would have known it through the performance of a scop, a bardic storyteller, as Bagby presents himself here. In this one-man tour de force, Bagby accompanies himself on an Anglo-Saxon harp. Using the entire range of his voice, he delivers this gripping tale in Old English, as it could have been experienced more than one thousand years ago. This performance speaks to the lovers of Beowulf and the oral epic, early music enthusiasts, Tolkien fans, medievalists, and anyone searching for virtuoso storytelling or a glimpse into the fascinating beginnings of the English language.",0.6,Beowulf,False,0.0,0.0,[]
Grendel Grendel Grendel,1981,600,600,600,Denmark,"[16, 14]",136994,en,"This is an animated story covering the ancient legend of Beowulf, as narrated by Grendel himself, the ""monster"" in the legend. Aimed more at adults than children, this version holds some interesting twists on the traditional tale, and is based on a novel by American critic and academic John Gardner.",1.062,Grendel Grendel Grendel,False,4.8,4.0,"['Animation', 'Fantasy']"
Grendel,2007,600,600,600,Denmark,"[14, 10770]",72653,en,"King Higlack of the Gauths entrusts prince Finn and a fire ball weapon to his champion, slayer Beowulf. They lead twelve men on a mission to help king Hrothgar of the Danes, whose once glorious realm is terrorized by the undefeated monster Grendel. The task is made more difficult as Hrothgar kept gruesome secrets.",6.048,Grendel,False,3.6,14.0,"['Fantasy', 'TV Movie']"
Fire and Sword,1982,600,600,600,Ireland,"[10749, 12]",550724,de,"The young knight Tristan is injured in a fight in Ireland and cared for by the beautiful Isolde. He falls in love with her, unaware that she is the daughter of the Irish king.",0.6,Fire and Sword,False,5.0,3.0,"['Romance', 'Adventure']"
Beowulf & Grendel,2005,600,600,600,Denmark,"[28, 12, 18, 14]",5471,en,"The blood-soaked tale of a Norse warrior's battle against the great and murderous troll, Grendel. Heads will roll. Out of allegiance to the King Hrothgar, the much respected Lord of the Danes, Beowulf leads a troop of warriors across the sea to rid a village of the marauding monster.",13.667,Beowulf & Grendel,False,5.7,164.0,"['Action', 'Adventure', 'Drama', 'Fantasy']"
Beowulf & Grendel,2005,600,600,600,Denmark,"[28, 12, 18, 14]",5471,en,"The blood-soaked tale of a Norse warrior's battle against the great and murderous troll, Grendel. Heads will roll. Out of allegiance to the King Hrothgar, the much respected Lord of the Danes, Beowulf leads a troop of warriors across the sea to rid a village of the marauding monster.",13.667,Beowulf & Grendel,False,5.7,164.0,"['Action', 'Adventure', 'Drama', 'Fantasy']"
Grendel,2007,600,600,600,Denmark,"[14, 10770]",72653,en,"King Higlack of the Gauths entrusts prince Finn and a fire ball weapon to his champion, slayer Beowulf. They lead twelve men on a mission to help king Hrothgar of the Danes, whose once glorious realm is terrorized by the undefeated monster Grendel. The task is made more difficult as Hrothgar kept gruesome secrets.",6.048,Grendel,False,3.6,14.0,"['Fantasy', 'TV Movie']"
Hamlet,1964,600,600,600,Denmark,[18],71317,ru,"Shakespeare's 17th century masterpiece about the ""Melancholy Dane"" was given one of its best screen treatments by Soviet director Grigori Kozintsev. Kozintsev's Elsinore was a real castle in Estonia, utilized metaphorically as the ""stone prison"" of the mind wherein Hamlet must confine himself in order to avenge his father's death. Hamlet himself is portrayed (by Innokenti Smoktunovsky) as the sole sensitive intellectual in a world made up of debauchers and revellers. Several of Kozintsev directorial choices seem deliberately calculated to inflame the purists: Hamlet's delivers his ""To be or not to be"" soliloquy with his back to the camera, allowing the audience to fill in its own interpretations.",4.256,Hamlet,False,7.6,33.0,['Drama']
Shaolin Temple,1982,619-621,619,621,China,[28],10275,cn,"The Tang emperor is betrayed by one of his generals, who installs himself as emperor in the East Capital. The son of one of his slave workers escapes to the Shaolin Temple, learns kung fu, and sets out to kill the traitor who killed his father.",10.11,Shaolin Temple,False,6.8,80.0,['Action']
The Great Battle,2018,645,645,645,Korea,"[10752, 36, 28]",535389,ko,"Kingdom of Goguryeo, ancient Korea, 645. The ruthless Emperor Taizong of Tang invades the country and leads his armies towards the capital, achieving one victory after another, but on his way is the stronghold of Ansi, protected by General Yang Man-chu, who will do everything possible to stop the invasion, even if his troops are outnumbered by thousands of enemies.",9.092,The Great Battle,False,7.3,87.0,"['War', 'History', 'Action']"
Once Upon a Time in a Battlefield,2003,660,660,660,Korea,"[36, 10752, 35]",147704,ko,"Set in the 7th century AD during the Korean peninsula's division into three perpetually warring kingdoms, Once Upon A Time In A Battlefield focuses on the Shilla's king Kim Choon-chu efforts to conquer his rivals: Koguryo and Baekche. To achieve this goal, he allies with mainland China's Tang empire, the superpower of the era, and together the two polities plan to attack first the weakest Baekche at its main fortress of Hwangsanbul, guarding the only easy access to the mountainous interior. But the fortress commander General Kye Baek (Park Joong-hoon) will be resisting to the end...This comedy relays on clash between ancient time and modern language combined with irony and distance to the war.",1.439,Once Upon a Time in a Battlefield,False,6.2,6.0,"['History', 'War', 'Comedy']"
Redbad,2018,c.680-719,680,719,Frisia,"[12, 36, 10752, 18]",485296,nl,"In the year of 754 AD, during a time of epic battles and bloodshed, the legend of the pagan warrior king, Rebad, is born, but so is a new weapon against his people: Christianity. Redbad must ultimately unite a Viking army powerful enough to defeat the seemingly invincible Franks.",12.001,Redbad,False,6.5,132.0,"['Adventure', 'History', 'War', 'Drama']"
Detective Dee and the Mystery of the Phantom Flame,2010,684-690,684,690,China,"[28, 12, 18, 9648]",48492,zh,"An exiled detective is recruited to solve a series of mysterious deaths that threaten to delay the inauguration of Empress Wu.A bizarre murder mystery brings together the most powerful woman in China, the soon-to-be-Empress Wu Zetian and a formerly exiled detective, Dee Renjie at the infamous Imperial Palace. Hoping he will solve the crime before her coronation, Wu appoints Dee Chief Judge of the Empire and implores him to combine his indisputable wisdom with his unparalleled martial arts skills to save the future of her dynasty. Director Tsui Hark (Seven Swords) teams with stunt director Sammo Hung in this heart-pounding, epic thriller inspired by the incredible true story of one of the Tang Dynasty's most celebrated officials.",10.956,Detective Dee and the Mystery of the Phantom Flame,False,6.6,279.0,"['Action', 'Adventure', 'Drama', 'Mystery']"
Warriors of Heaven and Earth,2003,700,700,700,China,"[18, 28, 12]",14797,zh,"A Chinese emissary is sent to the Gobi desert to execute a renegade soldier. When a caravan transporting a Buddhist monk and a valuable treasure is threatened by thieves, however, the two warriors might unite to protect the travelers.",6.492,Warriors of Heaven and Earth,False,6.2,69.0,"['Drama', 'Action', 'Adventure']"
Warriors of Heaven and Earth,2003,700,700,700,China,"[18, 28, 12]",14797,zh,"A Chinese emissary is sent to the Gobi desert to execute a renegade soldier. When a caravan transporting a Buddhist monk and a valuable treasure is threatened by thieves, however, the two warriors might unite to protect the travelers.",6.492,Warriors of Heaven and Earth,False,6.2,69.0,"['Drama', 'Action', 'Adventure']"
Outlander,2008,709,709,709,Denmark,"[14, 28, 878]",10529,en,"During the reign of the Vikings, a man from another world crash-lands on Earth, bringing with him an alien predator. The man must fuse his advanced technology with the weaponry of the vikings to fight the monster.",33.746,Outlander,False,6.4,949.0,"['Fantasy', 'Action', 'Science Fiction']"
The Promise,2005,766-780,766,780,China,"[14, 18, 28, 53, 10749]",2008,zh,"An orphaned girl, driven by poverty at such a young age, makes a promise with an enchantress. In return for beauty and the admiration of every man, she will never be with the man she loves. This spell cannot be broken unless the impossible happens: snow falling in spring and the dead coming back to life. Now a grown and beautiful princess, she regrets her promise, for all of the men she's loved has always been met with tragedy.",7.473,The Promise,False,5.4,79.0,"['Fantasy', 'Drama', 'Action', 'Thriller', 'Romance']"
Roland the Mighty,1956,778,778,778,France,"[10752, 36, 28]",330831,it,"Charlemagne and saracen Agramante are at war. Although the Franks are outnumbered by their enemies they succeed in containing them in the Pyrenean foothills. A truce is signed between the two sides, during which Agramante treacherously sends Angélique, a beautiful seductress of his retinue,to the paladin camp. Meanwhile the emperor has decided to give his daughter Aude to his brave nephew Roland but chance has it that she meets Renaud,Roland's lieutenant, first. The two young people fall in love. Later on, the truce is broken and fight resumes. Betrayed by Ganelon, Roland is momentarily disowned by his uncle.",0.84,Roland the Mighty,False,9.0,1.0,"['War', 'History', 'Action']"
Erik the Conqueror,1961,786-806,786,806,England,"[28, 12]",88266,it,"In the 9th Century, two Viking children, separated since their early childhood with one raised by the British and the other by Vikings, meet after nearly 20 years as rivals as war breaks out between Britian and the Vikings for control of England.",4.038,Erik the Conqueror,False,6.3,25.0,"['Action', 'Adventure']"
The Gaelic King,2017,800,800,800,Scotland,"[14, 36]",427395,en,"Set in war-torn 800AD Scotland, The Gaelic King tells the story of warrior-king Alpin mac Eachdach. When his young brother is captured, Alpin must hunt the kidnappers though a dark forest that hides an ancient evil.",4.683,The Gaelic King,False,5.1,12.0,"['Fantasy', 'History']"
Pope Joan,2009,814-855,814,855,France,[18],9503,en,A 9th century woman of English extraction born in the German city of Ingelheim disguises herself as a man and rises through the Vatican ranks.,14.34,Pope Joan,False,6.9,282.0,['Drama']
House of Flying Daggers,2004,859,859,859,China,"[12, 18, 28, 10749]",9550,zh,"In 9th century China, a corrupt government wages war against a rebel army called the Flying Daggers. A romantic warrior breaks a beautiful rebel out of prison to help her rejoin her fellows, but things are not what they seem.",15.445,House of Flying Daggers,False,7.3,1216.0,"['Adventure', 'Drama', 'Action', 'Romance']"
The Vikings,1958,860,860,860,England,"[28, 12, 36]",42661,en,"Einar, brutal son of Ragnar and future heir to his throne, tangles with Eric, a wily slave, for the hand of a beautiful English maiden.",13.636,The Vikings,False,7.1,216.0,"['Action', 'Adventure', 'History']"
Alfred the Great,1969,870-899,870,899,England,[36],73672,en,"While Old England is being ransacked by roving Danes in the 9th century, Alfred is planning to join the priesthood. But observing the rape of his land, he puts away his religious vows to take up arms against the invaders, leading the English Christians to fight for their country. Alfred soundly defeats the Danes and becomes a hero. But now, although Alfred still longs for the priesthood, he is torn between his passion for God and his lust for blood.",2.157,Alfred the Great,False,4.8,8.0,['History']
The Heroic Ones,1970,880,880,880,China,"[28, 18, 36]",36261,zh,"A Mogul king decides to take stealthy action to help overpower his greatest rivals. He chooses nine out thirteen of his loyal generals (who he treats as sons) to embark on the mission. However, jealously amongst them sparks a treacherous family feud that could lead to catastrophic consequences for all involved.",3.29,The Heroic Ones,False,6.3,21.0,"['Action', 'Drama', 'History']"
The Conquest,1996,896,896,896,Hungary,[36],80205,hu,"Filmed in commemoration of Hungary's 1100th anniversary and on the sites of the actual events, a cast of thousands authentically recreates the 896 AD arrival of the Magyar chief Arpad (Nero) and his seven tribes into the Carpathian basin from the steppes.",1.138,The Conquest,False,4.0,6.0,['History']
When the Raven Flies,1984,897,897,897,Iceland,"[28, 18]",16852,is,"Vikings pillage Ireland, seeking silver and slaves, slaying men and women in the process. A young boy is spared when a Viking takes pity on him instead of killing him. Twenty years later the boy returns to Iceland take his revenge.",2.551,When the Raven Flies,False,6.5,25.0,"['Action', 'Drama']"
Attack of the Normans,1962,early 900 ,900,900,England,[12],6614,it,An evil duke kidnaps the good king and tries to make the virtuous queen his bride and the peasants take arms.,1.708,Attack of the Normans,False,0.0,0.0,['Adventure']
In the Shadow of the Raven,1988,900,900,900,Iceland,[18],16853,is,"Trausti returns to Iceland just in time to be entangled in a family feud over a stranded whale-cadaver. His mother (the family head) is mortally wounded and Grim kills Erikur; the other clan leader. Isold, daughter of Erikur now takes his place. Isold and Trausti are attracted to each other, but Isold was promised to Hjoerleifur - the son of the Bishop (of Iceland) and his powerful wife. However, Isold has a plan...",2.613,In the Shadow of the Raven,False,5.1,11.0,['Drama']
Pathfinder,1987,900,900,900,Norway,[12],2172,se,"Around the year 1000 AD warlike people, the so-called ""tjuder"", roam in northern Scandinavia. As they brutally kill a family in a remote area, including the parents and their little daughter, the family's teenage son, Aigin, observes the slaughter. He manages to flee from these killers and reaches a camp with other Lapps whose inhabitants are worried if he has been able to hide his track. Afraid of the murderous people, they decide to flee to the coast. The boy stays alone to avenge his family's murder. Unfortunately, they get him before he can do anything and force him to lead them to the other Lapps. He guides them but has a plan to destroy the barbarous people before reaching the camp.",5.622,Pathfinder,False,7.2,56.0,['Adventure']
The 13th Warrior,1999,922,922,922,Kiev,"[12, 36, 28]",1911,en,"A Muslim ambassador exiled from his homeland, Ahmad ibn Fadlan finds himself in the company of Vikings. While the behavior of the Norsemen initially offends ibn Fadlan, the more cultured outsider grows to respect the tough, if uncouth, warriors. During their travels together, ibn Fadlan and the Vikings get word of an evil presence closing in, and they must fight the frightening and formidable force, which was previously thought to exist only in legend.",20.669,The 13th Warrior,False,6.6,1406.0,"['Adventure', 'History', 'Action']"
Curse of the Golden Flower,2006,928,928,928,China,"[28, 18, 14]",1494,zh,"During China's Tang dynasty the emperor has taken the princess of a neighboring province as his wife. She has borne him two sons and raised his eldest. Now his control over his dominion is complete, including the royal family itself.",17.728,Curse of the Golden Flower,False,6.8,552.0,"['Action', 'Drama', 'Fantasy']"
The Castilian,1963,930-970,930,970,Spain,"[12, 18]",134608,es,"Also released as Valley of the Swords, this lugubrious US/Spanish co-production features the usual mid-1960s ""tax shelter"" international cast. Broderick Crawford plays a despotic 10th century Spanish king who, in cahoots with the invading Moors, has banished handsome Castilian nobleman Spartaco Santoni. With the surreptitious aid of Crawford's daughter Teresa Velasquez, Santoni assembles an army to march against the Moors. In keeping with the 13th century epic poem from which this film was derived (""El Poema de Fernan Gonzales"") Santoni's path is smoothed by the celestial intervention of patron saints Milan and Santiago. Among the big names picking up a few tax-free dollars in The Castilian are Cesar Romero, Linda Darnell, Alida Valli and Fernando Rey.",1.238,The Castilian,False,0.0,0.0,"['Adventure', 'Drama']"
Rajaraja Cholan,1973,947 - 1014,947,1014,India,[36],261672,ta,Rajaraja Cholan is a 1973 Tamil film about the life of the Chola king Rajaraja Chola.,0.6,Rajaraja Cholan,False,0.0,0.0,['History']
All the King's Men,1983,950,950,950,China,"[28, 18]",252319,en,"It's the 10th century BC, the emperor (Tien Feng) is not well, and the medicines he is receiving from con artist ""Immortal Li"" are in reality only making him worse. There is a man in a nearby kingdom, ""Divine Physician"" Chang Po-chao, whom it's said could cure his epilepsy, but the only way to bribe the head of the border guard is with a new work by painter Wei Yu-pi. He, meanwhile, wishes to be paid in jade, in fact with a specific piece, which requires a thief. But Ting Yu-yu, the best in the area, claims to be retired, though his daughter Li-ting (Cheng Pei-pei) seems enthusiastic. And for the sake of secrecy, the archivists originally sent to recruit Chang don't even know it's on behalf of the emperor!",0.6,All the King's Men,False,8.3,3.0,"['Action', 'Drama']"
Pope Joan,1972,900-11th ,950,950,France,[18],47846,en,"Based on the medieval legend of Pope Joan, who was made Pope for a brief period around 855 A.D. The movie presents her existence as fact, though it is questionable that Pope Joan really did exist, and portrays her relationships with other notables of the time.",2.006,Pope Joan,False,6.2,5.0,['Drama']
Viking,2016,970-1016,970,1016,Kiev,"[36, 28, 18]",369698,ru,"The early Middle Ages. A time of heavy swords and dark blood law. The ruling clan is in discord. The guilt for the accidental death of the brother has fallen on the Grand Duke. According to the law, revenge must be taken by the younger brother, a bastard. For the refusal to kill, he has to pay with eve- rything he had, because “for peace you need more swords than for a war”...",16.29,Viking,False,4.9,118.0,"['History', 'Action', 'Drama']"
Prince Vladimir,2006,980-1015,980,1015,Kiev,"[16, 18, 36]",39170,ru,"The plot follows the events surrounding Vladimir from childhood and into adulthood. In the beginning of the film, being under the influence of the high priest Krivzha, the Prince is a young, impulsive and cruel pagan. Fighting for supreme power, Vladimir wins a battle that kills his brother. Regretting what he has done, Vladimir does not suspect a conspiracy between the priest and the Pechenegs. Vladimir is concerned about gathering the Slavic tribes into one united state. Solving this major task, he faces obstacles, which Vladimir overcomes in the end, defeating Krivzha and winning the battle against Kurya, a Pecheneg chief.",2.721,Prince Vladimir,False,6.2,24.0,"['Animation', 'Drama', 'History']"
Saving General Yang,2013,980,980,980,China,"[28, 12, 36]",181009,zh,"When a rival nation sends troops to invade the Song Dynasty, the emperor sends general Yang Ye (Adam Cheng) to defend the nation. However, Yang's place in the court is shaky due to a feud with Pan Renmei caused by the accidental death of his son at the hands of one of Yang's sons. At the battle, Yang is abandoned by Pan's troops, leaving him trapped in the face of an attack by Yeli Yuan (Shao Bing), an enemy general who wants to kill Yang to avenge his father. After learning about their father's predicament, Yang Ye's seven sons set out to rescue their father at any cost.",7.576,Saving General Yang,False,6.4,76.0,"['Action', 'Adventure', 'History']"
The Long Ships,1964,982-990,982,990,Denmark,"[12, 18]",44736,en,"Moorish ruler El Mansuh is determined to locate a massive bell made of gold known as the ""Mother of Voices."" Viking explorer Rolfe also becomes intent on finding the mythical treasure, and sails with his crew from Scandinavia to Africa to track it down. Reluctantly working together, El Mansuh and Rolfe, along with their men, embark on a quest for the prized object, but only one leader will be able to claim the bell as his own — if it even exists at all.",6.499,The Long Ships,False,5.9,40.0,"['Adventure', 'Drama']"
Valhalla Rising,2009,1000,1000,1000,North America,"[12, 18, 28, 14]",37861,en,"1000 AD, for years, One Eye, a mute warrior of supernatural strength, has been held prisoner by the Norse chieftain Barde. Aided by Are, a boy slave, One Eye slays his captor and together he and Are escape, beginning a journey into the heart of darkness. On their flight, One Eye and Are board a Viking vessel, but the ship is soon engulfed by an endless fog that clears only as the crew sights an unknown land. As the new world reveals its secrets and the Vikings confront their terrible and bloody fate, One Eye discovers his true self.",11.371,Valhalla Rising,False,6.1,933.0,"['Adventure', 'Drama', 'Action', 'Fantasy']"
The Viking,1928,1000,1000,1000,North America,"[28, 12, 36]",164453,en,"In this historical adventure based on traditional legend concerning Leif Ericsson and the first Viking settlers to reach North America by sea, Norse half-brothers vie for a throne and for the same woman.",1.438,The Viking,False,6.2,6.0,"['Action', 'Adventure', 'History']"
The Silk Road,1988,1026,1026,1026,China,[18],123617,ja,"In 1026, students in western China are shanghaied into the forces of crown prince Li Yuanhao of Xi Xia, who wants to control the length of the Silk Road. One student is Zhao Xingde, who becomes the favorite of his commander, Zhu Wangli. While sacking a fortress, Xingde discovers Tsurpia, princess of the Uighur. He hides her; they fall in love. When he's sent away to study Xixian, he leaves Tsurpia in Zhu's care, but returns to find her engaged to Li. Tragedy follows, and he and Zhu enter a pact to take revenge when Li arrives at Dun-Huang, the region's seat of learning and culture. Against overwhelming odds, they find a surprising way to leave a monument to their life and love.",1.382,The Silk Road,False,6.7,6.0,['Drama']
Legendary Amazons,2011,1030,1030,1030,China,"[10752, 28]",82190,zh,"The film is set in early 11th century China during the reign of Emperor Renzong of the Song Dynasty. The emperor neglects state affairs and indulges in personal pleasures, while the government sinks into corruption and war continues to rage on at the borders of the Song Dynasty. The Song Dynasty is being invaded by the armies of the rival state of Western Xia.  Yang Zongbao is the last man standing in the Yang clan, a family of generals who have dedicated their lives to defending the Song Dynasty from foreign invaders. He apparently dies in battle tragically when the treacherous Imperial Tutor Pang refuses to send reinforcements to aid him. Yang Zongbao's widowed wife Mu Guiying leads the other widows of the Yang clan into battle to continue the legacy of their husbands.",6.264,Legendary Amazons,False,5.6,13.0,"['War', 'Action']"
