name,title list,director_id,gender,director_popularity,movie_id,title
John Madden,"Shakespeare in Love, Mrs Brown",18844.0,2.0,7.661,1934,Shakespeare in Love
John Madden,"Shakespeare in Love, Mrs Brown",18844.0,2.0,10.298,17589,Mrs Brown
John McTiernan,The 13th Warrior,1090.0,2.0,7.368,1911,The 13th Warrior
John Rawlins,Sudan,97015.0,2.0,0.677,137584,Sudan
John Walsh,Monarch,1326767.0,2.0,0.6,273454,Monarch
John Wayne,The Alamo,4165.0,2.0,16.95,11209,The Alamo
John Woo,Red Cliff,11401.0,2.0,10.419,12289,Red Cliff
Jon Jones,Northanger Abbey,120930.0,2.0,1.4,18093,Northanger Abbey
Jonathan English,Ironclad,83730.0,2.0,1.788,38543,Ironclad
Jonathan Miller,"Troilus & Cressida, Antony & Cleopatra",1246494.0,2.0,2.573,106385,Antony & Cleopatra
Jonathan Miller,"Troilus & Cressida, Antony & Cleopatra",1246494.0,2.0,2.573,119913,Troilus & Cressida
Josef von Sternberg,The Scarlet Empress,2891.0,2.0,4.525,31527,The Scarlet Empress
Joseph Barbera,The Three Musketeers,13594.0,2.0,3.709,428181,The Three Musketeers
Joseph L. Mankiewicz,Cleopatra,10601.0,2.0,3.248,8095,Cleopatra
Joseph Sargent,Abraham,15663.0,2.0,7.798,2701,Abraham
