name,actor_id,count
Anatole de Bodinat,579115.0,1
Anatoli Davydov,58556.0,1
Anatoliy Obukhov,1719621.0,1
Anatoliy Solonitsyn,8475.0,1
Anatoly Belyy,93540.0,1
Anaïs Frenette,1510493.0,1
Anca Szonyi,1913510.0,1
Anders Ek,6664.0,1
Anders Randolf,141305.0,1
Anders T. Andersen,71180.0,1
Andi Gottwald,1464196.0,1
Andre Braugher,6861.0,1
Andre De'Sean Shanks,1344359.0,1
Andre Gregory,109470.0,1
Andre Robinson,1438315.0,1
Andrea Aureli,142134.0,5
Andrea Bosic,39163.0,1
Andrea Bruschi,25102.0,1
Andrea Buscemi,1205026.0,1
Andrea Cambi,1383023.0,1
Andrea Checchi,45036.0,1
Andrea Coppola,230677.0,2
Andrea Deck,1172316.0,1
Andrea Del Rosario,1052349.0,1
Andrea Di Stefano,40541.0,1
Andrea Esterhazy,39431.0,1
Andrea Fantasia,946026.0,2
Andrea Giordana,44647.0,2
Andrea Mladinic,2237087.0,1
Andrea Osvárt,130875.0,1
Andrea Prodan,20440.0,2
Andrea Refuto,1882942.0,1
Andrea Scotti,128435.0,1
Andrea Ware,1987916.0,1
Andreanne Ross,1330759.0,1
Andreas Barkoulis,1129632.0,1
Andreas Grothusen,1315985.0,1
Andreas Wisniewski,10673.0,2
Andrei Abrikosov,67504.0,1
Andreina Rossi,1386167.0,1
Andrej Gardenin,1881338.0,1
Andreja Maričić,1053313.0,1
Andres Centenera,102645.0,1
Andrew Armour,1427529.0,1
Andrew Bicknell,47525.0,1
Andrew Birkin,2355.0,1
Andrew Blackett,992799.0,1
Andrew Bongiorno,1193456.0,1
Andrew Buchanan,1325838.0,1
Andrew Clover,24622.0,1
Andrew Crayford,1462426.0,1
Andrew Cruickshank,47397.0,1
Andrew Cryer,3058613.0,1
Andrew Faulds,14823.0,5
Andrew Flanagan,119094.0,1
Andrew Gallagher,1712416.0,1
Andrew Garfield,37625.0,1
Andrew Gourlay,1774535.0,1
Andrew Havill,176191.0,1
Andrew Howard,67206.0,1
Andrew Jarvis,1385345.0,1
Andrew Johnson,2356430.0,1
Andrew Kavadas,1216568.0,1
Andrew Keir,53815.0,6
Andrew L. Josiah,2298826.0,1
Andrew Laurence,1288553.0,1
